pair_type,model,domain,task_id,task_cluster,task_family,repeat_a,repeat_b,both_success,same_reward,same_final_state,first_divergence_index,normalized_first_divergence,first_divergent_tool_a,first_divergent_tool_b,first_divergent_argument_a,first_divergent_argument_b,first_divergent_stage_a,first_divergent_stage_b,stage_pair,before_first_write,before_confirmation,after_write,timing_bucket,reconverged,reconvergence_location,divergence_persistence,downstream_differing_actions
C1_C1,gemma4_31b,airline,18,airline:18,compound,2,4,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,18,airline:18,compound,3,4,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C2_C1,gemma4_31b,airline,2,airline:2,read,0,0,True,True,True,0.0,0.0,list_all_airports,search_direct_flight,{},"{""date"":""2024-06-15"",""destination"":""JFK"",""origin"":""SFO""}",retrieval_search,retrieval_search,retrieval_search -> retrieval_search,True,,False,early,True,0.09090909090909091,0.09090909090909091,6
C2_C1,gemma4_31b,airline,2,airline:2,read,1,1,True,True,True,0.0,0.0,list_all_airports,search_direct_flight,{},"{""date"":""2024-06-15"",""destination"":""JFK"",""origin"":""SFO""}",retrieval_search,retrieval_search,retrieval_search -> retrieval_search,True,,False,early,True,0.09090909090909091,0.09090909090909091,4
C2_C1,gemma4_31b,airline,2,airline:2,read,2,2,False,False,False,0.0,0.0,list_all_airports,search_direct_flight,{},"{""date"":""2024-06-15"",""destination"":""JFK"",""origin"":""SFO""}",retrieval_search,retrieval_search,retrieval_search -> retrieval_search,True,,False,early,True,0.09090909090909091,0.09090909090909091,6
C2_C1,gemma4_31b,airline,2,airline:2,read,3,3,True,True,True,0.0,0.0,list_all_airports,search_direct_flight,{},"{""date"":""2024-06-15"",""destination"":""JFK"",""origin"":""SFO""}",retrieval_search,retrieval_search,retrieval_search -> retrieval_search,True,,False,early,True,0.09090909090909091,0.09090909090909091,6
C2_C1,gemma4_31b,airline,2,airline:2,read,4,4,False,False,False,0.0,0.0,list_all_airports,search_direct_flight,{},"{""date"":""2024-06-15"",""destination"":""JFK"",""origin"":""SFO""}",retrieval_search,retrieval_search,retrieval_search -> retrieval_search,True,,False,early,True,0.09090909090909091,0.09090909090909091,6
C1_C1,gemma4_31b,airline,2,airline:2,read,0,1,True,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,2,airline:2,read,0,2,True,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,2,airline:2,read,0,3,True,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,2,airline:2,read,0,4,True,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,2,airline:2,read,1,2,True,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,2,airline:2,read,1,3,True,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,2,airline:2,read,1,4,True,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,2,airline:2,read,2,3,True,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,2,airline:2,read,2,4,True,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,2,airline:2,read,3,4,True,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C2_C1,gemma4_31b,airline,22,airline:22,compound,0,0,False,False,False,6.0,0.46153846153846156,get_reservation_details,<END>,"{""reservation_id"":""FQ8APE""}",<END>,recovery_retry,<END>,recovery_retry -> <END>,True,,False,middle,False,,1.0,7
C2_C1,gemma4_31b,airline,22,airline:22,compound,1,1,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C2_C1,gemma4_31b,airline,22,airline:22,compound,2,2,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C2_C1,gemma4_31b,airline,22,airline:22,compound,3,3,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C2_C1,gemma4_31b,airline,22,airline:22,compound,4,4,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,22,airline:22,compound,0,1,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,22,airline:22,compound,0,2,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,22,airline:22,compound,0,3,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,22,airline:22,compound,0,4,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,22,airline:22,compound,1,2,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,22,airline:22,compound,1,3,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,22,airline:22,compound,1,4,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,22,airline:22,compound,2,3,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,22,airline:22,compound,2,4,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,22,airline:22,compound,3,4,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C2_C1,gemma4_31b,airline,23,airline:23,compound,0,0,False,True,False,13.0,0.5652173913043478,cancel_reservation,calculate,"{""reservation_id"":""K1NW8N""}","{""expression"":""(364 + 248 + 453) * 3""}",write_mutation,communication_only,write_mutation -> communication_only,False,,False,middle,False,,1.0,10
C2_C1,gemma4_31b,airline,23,airline:23,compound,1,1,False,True,False,13.0,0.5652173913043478,cancel_reservation,calculate,"{""reservation_id"":""K1NW8N""}","{""expression"":""(364 + 248 + 453) * 3""}",write_mutation,communication_only,write_mutation -> communication_only,False,,False,middle,False,,1.0,10
C2_C1,gemma4_31b,airline,23,airline:23,compound,2,2,False,True,False,13.0,0.5652173913043478,cancel_reservation,calculate,"{""reservation_id"":""K1NW8N""}","{""expression"":""(364 + 248 + 453) * 3""}",write_mutation,communication_only,write_mutation -> communication_only,False,,False,middle,False,,1.0,10
C2_C1,gemma4_31b,airline,23,airline:23,compound,3,3,False,True,False,13.0,0.5652173913043478,cancel_reservation,<END>,"{""reservation_id"":""K1NW8N""}",<END>,write_mutation,<END>,write_mutation -> <END>,False,,False,middle,False,,1.0,10
C2_C1,gemma4_31b,airline,23,airline:23,compound,4,4,False,True,False,13.0,0.5652173913043478,cancel_reservation,calculate,"{""reservation_id"":""K1NW8N""}","{""expression"":""(364 + 248 + 453) * 3""}",write_mutation,communication_only,write_mutation -> communication_only,False,,False,middle,False,,1.0,10
C1_C1,gemma4_31b,airline,23,airline:23,compound,0,1,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,23,airline:23,compound,0,2,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,23,airline:23,compound,0,3,False,True,False,13.0,0.8125,calculate,<END>,"{""expression"":""(364 + 248 + 453) * 3""}",<END>,communication_only,<END>,communication_only -> <END>,True,,False,late,False,,1.0,3
C1_C1,gemma4_31b,airline,23,airline:23,compound,0,4,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,23,airline:23,compound,1,2,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,23,airline:23,compound,1,3,False,True,False,13.0,0.8125,calculate,<END>,"{""expression"":""(364 + 248 + 453) * 3""}",<END>,communication_only,<END>,communication_only -> <END>,True,,False,late,False,,1.0,3
C1_C1,gemma4_31b,airline,23,airline:23,compound,1,4,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,23,airline:23,compound,2,3,False,True,False,13.0,0.8125,calculate,<END>,"{""expression"":""(364 + 248 + 453) * 3""}",<END>,communication_only,<END>,communication_only -> <END>,True,,False,late,False,,1.0,3
C1_C1,gemma4_31b,airline,23,airline:23,compound,2,4,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,23,airline:23,compound,3,4,False,True,False,13.0,0.8125,<END>,calculate,<END>,"{""expression"":""(364 + 248 + 453) * 3""}",<END>,communication_only,<END> -> communication_only,True,,False,late,False,,1.0,3
C2_C1,gemma4_31b,airline,30,airline:30,single,0,0,False,False,False,2.0,0.5,search_direct_flight,get_user_details,"{""date"":""2024-06-14"",""destination"":""IAH"",""origin"":""LAS""}","{""user_id"":""james_taylor_7043""}",retrieval_search,entity_lookup,retrieval_search -> entity_lookup,True,,False,middle,False,,1.0,2
C2_C1,gemma4_31b,airline,30,airline:30,single,1,1,False,False,False,2.0,0.5,search_direct_flight,get_user_details,"{""date"":""2024-06-14"",""destination"":""IAH"",""origin"":""LAS""}","{""user_id"":""james_taylor_7043""}",retrieval_search,entity_lookup,retrieval_search -> entity_lookup,True,,False,middle,False,,1.0,2
C2_C1,gemma4_31b,airline,30,airline:30,single,2,2,False,False,False,2.0,0.5,search_direct_flight,get_user_details,"{""date"":""2024-06-14"",""destination"":""IAH"",""origin"":""LAS""}","{""user_id"":""james_taylor_7043""}",retrieval_search,entity_lookup,retrieval_search -> entity_lookup,True,,False,middle,False,,1.0,2
C2_C1,gemma4_31b,airline,30,airline:30,single,3,3,False,False,False,2.0,0.5,search_direct_flight,get_user_details,"{""date"":""2024-06-14"",""destination"":""IAH"",""origin"":""LAS""}","{""user_id"":""james_taylor_7043""}",retrieval_search,entity_lookup,retrieval_search -> entity_lookup,True,,False,middle,False,,1.0,2
C2_C1,gemma4_31b,airline,30,airline:30,single,4,4,False,False,False,2.0,0.5,search_direct_flight,get_user_details,"{""date"":""2024-06-14"",""destination"":""IAH"",""origin"":""LAS""}","{""user_id"":""james_taylor_7043""}",retrieval_search,entity_lookup,retrieval_search -> entity_lookup,True,,False,middle,False,,1.0,2
C1_C1,gemma4_31b,airline,30,airline:30,single,0,1,True,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,30,airline:30,single,0,2,True,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,30,airline:30,single,0,3,True,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,30,airline:30,single,0,4,True,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,30,airline:30,single,1,2,True,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,30,airline:30,single,1,3,True,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,30,airline:30,single,1,4,True,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,30,airline:30,single,2,3,True,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,30,airline:30,single,2,4,True,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,30,airline:30,single,3,4,True,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C2_C1,gemma4_31b,airline,32,airline:32,compound,0,0,False,False,False,5.0,0.4166666666666667,search_direct_flight,get_reservation_details,"{""date"":""2024-05-21"",""destination"":""LAX"",""origin"":""EWR""}","{""reservation_id"":""OWZ4XL""}",retrieval_search,recovery_retry,retrieval_search -> recovery_retry,True,,False,middle,True,0.5,0.08333333333333331,5
C2_C1,gemma4_31b,airline,32,airline:32,compound,1,1,False,True,False,6.0,0.6666666666666666,update_reservation_flights,search_direct_flight,"{""cabin"":""economy"",""flights"":[{""date"":""2024-05-21"",""destination"":""LAX"",""flight_number"":""HAT041"",""origin"":""EWR""}],""payment_id"":""gift_card_9823297"",""reservation_id"":""OWZ4XL""}","{""date"":""2024-05-21"",""destination"":""LAX"",""origin"":""MIA""}",write_mutation,retrieval_search,write_mutation -> retrieval_search,False,,False,late,False,,1.0,3
C2_C1,gemma4_31b,airline,32,airline:32,compound,2,2,False,True,False,6.0,0.6666666666666666,update_reservation_flights,search_direct_flight,"{""cabin"":""economy"",""flights"":[{""date"":""2024-05-21"",""destination"":""LAX"",""flight_number"":""HAT041"",""origin"":""EWR""}],""payment_id"":""gift_card_9823297"",""reservation_id"":""OWZ4XL""}","{""date"":""2024-05-21"",""destination"":""LAX"",""origin"":""MIA""}",write_mutation,retrieval_search,write_mutation -> retrieval_search,False,,False,late,False,,1.0,3
C2_C1,gemma4_31b,airline,32,airline:32,compound,3,3,False,True,False,6.0,0.6666666666666666,update_reservation_flights,search_direct_flight,"{""cabin"":""economy"",""flights"":[{""date"":""2024-05-21"",""destination"":""LAX"",""flight_number"":""HAT041"",""origin"":""EWR""}],""payment_id"":""gift_card_9823297"",""reservation_id"":""OWZ4XL""}","{""date"":""2024-05-21"",""destination"":""LAX"",""origin"":""MIA""}",write_mutation,retrieval_search,write_mutation -> retrieval_search,False,,False,late,False,,1.0,3
C2_C1,gemma4_31b,airline,32,airline:32,compound,4,4,False,True,False,6.0,0.6666666666666666,update_reservation_flights,search_direct_flight,"{""cabin"":""economy"",""flights"":[{""date"":""2024-05-21"",""destination"":""LAX"",""flight_number"":""HAT041"",""origin"":""EWR""}],""payment_id"":""gift_card_9823297"",""reservation_id"":""OWZ4XL""}","{""date"":""2024-05-21"",""destination"":""LAX"",""origin"":""MIA""}",write_mutation,retrieval_search,write_mutation -> retrieval_search,False,,False,late,False,,1.0,3
C1_C1,gemma4_31b,airline,32,airline:32,compound,0,1,False,False,False,5.0,0.4166666666666667,get_reservation_details,search_direct_flight,"{""reservation_id"":""OWZ4XL""}","{""date"":""2024-05-21"",""destination"":""MIA"",""origin"":""EWR""}",recovery_retry,retrieval_search,recovery_retry -> retrieval_search,True,,False,middle,True,0.5,0.08333333333333331,4
C1_C1,gemma4_31b,airline,32,airline:32,compound,0,2,False,False,False,5.0,0.4166666666666667,get_reservation_details,search_direct_flight,"{""reservation_id"":""OWZ4XL""}","{""date"":""2024-05-21"",""destination"":""MIA"",""origin"":""EWR""}",recovery_retry,retrieval_search,recovery_retry -> retrieval_search,True,,False,middle,True,0.5,0.08333333333333331,4
C1_C1,gemma4_31b,airline,32,airline:32,compound,0,3,False,False,False,5.0,0.4166666666666667,get_reservation_details,search_direct_flight,"{""reservation_id"":""OWZ4XL""}","{""date"":""2024-05-21"",""destination"":""MIA"",""origin"":""EWR""}",recovery_retry,retrieval_search,recovery_retry -> retrieval_search,True,,False,middle,True,0.5,0.08333333333333331,4
C1_C1,gemma4_31b,airline,32,airline:32,compound,0,4,False,False,False,5.0,0.4166666666666667,get_reservation_details,search_direct_flight,"{""reservation_id"":""OWZ4XL""}","{""date"":""2024-05-21"",""destination"":""MIA"",""origin"":""EWR""}",recovery_retry,retrieval_search,recovery_retry -> retrieval_search,True,,False,middle,True,0.5,0.08333333333333331,4
C1_C1,gemma4_31b,airline,32,airline:32,compound,1,2,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,32,airline:32,compound,1,3,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,32,airline:32,compound,1,4,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
