run_id,arm,band,task_id,domain,model,template_suffix,replicate,n_tool_events,tool_sequence,n_mutation_events,n_confirmation_events,any_tool_call,final_response_len,total_tokens,duration_s
gemma4_31b__r6_calendar_01_find_slots__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_calendar_01_find_slots,calendar,gemma4_31b,04,3,2,calendar_get_availability|calendar_list_events,0,0,1,255,,4.98
gemma4_31b__r6_calendar_01_find_slots__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_calendar_01_find_slots,calendar,gemma4_31b,05,4,2,calendar_get_availability|calendar_list_events,0,0,1,255,,4.99
gemma4_31b__r6_calendar_02_event_summary__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_calendar_02_event_summary,calendar,gemma4_31b,01,0,0,,0,0,0,115,,1.18
gemma4_31b__r6_calendar_02_event_summary__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_calendar_02_event_summary,calendar,gemma4_31b,02,1,0,,0,0,0,198,,1.76
gemma4_31b__r6_calendar_02_event_summary__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_calendar_02_event_summary,calendar,gemma4_31b,03,2,0,,0,0,0,266,,2.56
gemma4_31b__r6_calendar_02_event_summary__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_calendar_02_event_summary,calendar,gemma4_31b,04,3,0,,0,0,0,170,,1.51
gemma4_31b__r6_calendar_02_event_summary__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_calendar_02_event_summary,calendar,gemma4_31b,05,4,0,,0,0,0,205,,1.85
gemma4_31b__r6_email_01_search_summary__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_email_01_search_summary,email,gemma4_31b,01,0,3,email_search|email_search|email_search,0,0,1,246,,5.18
gemma4_31b__r6_email_01_search_summary__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_email_01_search_summary,email,gemma4_31b,02,1,3,email_search|email_search|email_search,0,0,1,239,,4.71
gemma4_31b__r6_email_01_search_summary__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_email_01_search_summary,email,gemma4_31b,03,2,3,email_search|email_search|email_search,0,0,1,283,,5.09
gemma4_31b__r6_email_01_search_summary__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_email_01_search_summary,email,gemma4_31b,04,3,3,email_search|email_search|email_search,0,0,1,229,,4.62
gemma4_31b__r6_email_01_search_summary__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_email_01_search_summary,email,gemma4_31b,05,4,2,email_search|email_search,0,0,1,270,,4.03
gemma4_31b__r6_travel_01_flight_status__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_travel_01_flight_status,airline,gemma4_31b,01,0,0,,0,0,0,176,,1.49
gemma4_31b__r6_travel_01_flight_status__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_travel_01_flight_status,airline,gemma4_31b,02,1,2,get_user_details|get_reservation_details,0,0,1,282,,4.29
gemma4_31b__r6_travel_01_flight_status__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_travel_01_flight_status,airline,gemma4_31b,03,2,2,get_user_details|get_reservation_details,0,0,1,251,,4.03
gemma4_31b__r6_travel_01_flight_status__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_travel_01_flight_status,airline,gemma4_31b,04,3,2,get_user_details|get_reservation_details,0,0,1,263,,4.41
gemma4_31b__r6_travel_01_flight_status__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_travel_01_flight_status,airline,gemma4_31b,05,4,0,,0,0,0,194,,1.77
gemma4_31b__r6_hotel_02_amenity_lookup__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_hotel_02_amenity_lookup,hotel,gemma4_31b,01,0,0,,0,0,0,181,,1.69
gemma4_31b__r6_hotel_02_amenity_lookup__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_hotel_02_amenity_lookup,hotel,gemma4_31b,02,1,2,hotel_find_reservation|hotel_get_policy,0,0,1,284,,4.54
gemma4_31b__r6_hotel_02_amenity_lookup__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_hotel_02_amenity_lookup,hotel,gemma4_31b,03,2,0,,0,0,0,186,,1.72
gemma4_31b__r6_hotel_02_amenity_lookup__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_hotel_02_amenity_lookup,hotel,gemma4_31b,04,3,2,hotel_find_reservation|hotel_get_policy,0,0,1,315,,4.71
gemma4_31b__r6_hotel_02_amenity_lookup__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_hotel_02_amenity_lookup,hotel,gemma4_31b,05,4,0,,0,0,0,208,,1.89
gemma4_31b__r6_file_01_locate_checksum__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_file_01_locate_checksum,file,gemma4_31b,01,0,4,file_search|file_search|file_search|file_search,0,0,1,216,,5.53
gemma4_31b__r6_file_01_locate_checksum__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_file_01_locate_checksum,file,gemma4_31b,02,1,8,file_search|file_search|file_search|file_search|file_search|file_search|file_search|file_search,0,0,1,208,,9.74
gemma4_31b__r6_file_01_locate_checksum__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_file_01_locate_checksum,file,gemma4_31b,03,2,7,file_search|file_search|file_search|file_search|file_search|file_search|file_search,0,0,1,272,,9.19
gemma4_31b__r6_file_01_locate_checksum__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_file_01_locate_checksum,file,gemma4_31b,04,3,8,file_search|file_search|file_search|file_search|file_search|file_search|file_search|file_search,0,0,1,217,,10.51
gemma4_31b__r6_file_01_locate_checksum__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_file_01_locate_checksum,file,gemma4_31b,05,4,4,file_search|file_search|file_search|file_search,0,0,1,357,,7.02
mistral_small_3p2__r6_retail_01_order_options__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_retail_01_order_options,retail,mistral_small_3p2,01,0,0,,0,0,0,164,,1.8
mistral_small_3p2__r6_retail_01_order_options__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_retail_01_order_options,retail,mistral_small_3p2,02,1,1,get_order_details,0,0,1,326,,4.49
mistral_small_3p2__r6_retail_01_order_options__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_retail_01_order_options,retail,mistral_small_3p2,03,2,1,get_order_details,0,0,1,392,,3.89
mistral_small_3p2__r6_retail_01_order_options__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_retail_01_order_options,retail,mistral_small_3p2,04,3,5,find_user_id_by_name_zip|get_order_details|get_product_details|get_product_details|get_product_details,0,0,1,155,,7.79
mistral_small_3p2__r6_retail_01_order_options__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_retail_01_order_options,retail,mistral_small_3p2,05,4,2,get_order_details|get_product_details,0,0,1,201,,7.74
mistral_small_3p2__r6_retail_02_refund_estimate__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_retail_02_refund_estimate,retail,mistral_small_3p2,01,0,0,,0,0,0,312,,2.14
mistral_small_3p2__r6_retail_02_refund_estimate__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_retail_02_refund_estimate,retail,mistral_small_3p2,02,1,0,,0,0,0,518,,3.07
mistral_small_3p2__r6_retail_02_refund_estimate__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_retail_02_refund_estimate,retail,mistral_small_3p2,03,2,4,find_user_id_by_name_zip|get_order_details|get_product_details|calculate,0,0,1,202,,11.1
mistral_small_3p2__r6_retail_02_refund_estimate__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_retail_02_refund_estimate,retail,mistral_small_3p2,04,3,0,,0,0,0,318,,1.9
mistral_small_3p2__r6_retail_02_refund_estimate__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_retail_02_refund_estimate,retail,mistral_small_3p2,05,4,0,,0,0,0,409,,2.5
mistral_small_3p2__r6_calendar_01_find_slots__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_calendar_01_find_slots,calendar,mistral_small_3p2,01,0,1,calendar_list_events,0,0,1,214,,4.03
mistral_small_3p2__r6_calendar_01_find_slots__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_calendar_01_find_slots,calendar,mistral_small_3p2,02,1,1,calendar_list_events,0,0,1,152,,4.18
mistral_small_3p2__r6_calendar_01_find_slots__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_calendar_01_find_slots,calendar,mistral_small_3p2,03,2,2,calendar_list_events|calendar_get_availability,0,0,1,137,,6.57
mistral_small_3p2__r6_calendar_01_find_slots__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_calendar_01_find_slots,calendar,mistral_small_3p2,04,3,1,calendar_list_events,0,0,1,240,,2.98
mistral_small_3p2__r6_calendar_01_find_slots__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_calendar_01_find_slots,calendar,mistral_small_3p2,05,4,1,calendar_list_events,0,0,1,181,,3.5
mistral_small_3p2__r6_calendar_02_event_summary__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_calendar_02_event_summary,calendar,mistral_small_3p2,01,0,0,,0,0,0,512,,3.07
mistral_small_3p2__r6_calendar_02_event_summary__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_calendar_02_event_summary,calendar,mistral_small_3p2,02,1,2,calendar_find_event|calendar_get_event,0,0,1,344,,6.35
mistral_small_3p2__r6_calendar_02_event_summary__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_calendar_02_event_summary,calendar,mistral_small_3p2,03,2,2,calendar_find_event|calendar_get_event,0,0,1,364,,5.39
mistral_small_3p2__r6_calendar_02_event_summary__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_calendar_02_event_summary,calendar,mistral_small_3p2,04,3,0,,0,0,0,337,,2.23
mistral_small_3p2__r6_calendar_02_event_summary__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_calendar_02_event_summary,calendar,mistral_small_3p2,05,4,0,,0,0,0,148,,1.11
mistral_small_3p2__r6_email_01_search_summary__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_email_01_search_summary,email,mistral_small_3p2,01,0,2,email_search|email_get_thread,0,0,1,1471,,14.92
mistral_small_3p2__r6_email_01_search_summary__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_email_01_search_summary,email,mistral_small_3p2,02,1,2,email_search|email_get_thread,0,0,1,1439,,15.09
mistral_small_3p2__r6_email_01_search_summary__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_email_01_search_summary,email,mistral_small_3p2,03,2,4,email_search|email_get_thread|email_get_thread|email_get_thread,0,0,1,994,,13.71
mistral_small_3p2__r6_email_01_search_summary__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_email_01_search_summary,email,mistral_small_3p2,04,3,2,email_search|email_get_thread,0,0,1,1536,,14.91
mistral_small_3p2__r6_email_01_search_summary__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_email_01_search_summary,email,mistral_small_3p2,05,4,1,email_search,0,0,1,947,,10.17
mistral_small_3p2__r6_travel_01_flight_status__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_travel_01_flight_status,airline,mistral_small_3p2,01,0,0,,0,0,0,447,,2.77
mistral_small_3p2__r6_travel_01_flight_status__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_travel_01_flight_status,airline,mistral_small_3p2,02,1,0,,0,0,0,421,,2.65
mistral_small_3p2__r6_travel_01_flight_status__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_travel_01_flight_status,airline,mistral_small_3p2,03,2,1,get_reservation_details,0,0,1,206,,3.04
mistral_small_3p2__r6_travel_01_flight_status__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_travel_01_flight_status,airline,mistral_small_3p2,04,3,1,get_reservation_details,0,0,1,220,,3.04
mistral_small_3p2__r6_travel_01_flight_status__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_travel_01_flight_status,airline,mistral_small_3p2,05,4,1,get_reservation_details,0,0,1,361,,3.94
mistral_small_3p2__r6_hotel_02_amenity_lookup__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_hotel_02_amenity_lookup,hotel,mistral_small_3p2,01,0,0,,0,0,0,288,,2.07
mistral_small_3p2__r6_hotel_02_amenity_lookup__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_hotel_02_amenity_lookup,hotel,mistral_small_3p2,02,1,0,,0,0,0,118,,0.87
mistral_small_3p2__r6_hotel_02_amenity_lookup__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_hotel_02_amenity_lookup,hotel,mistral_small_3p2,03,2,0,,0,0,0,242,,1.81
mistral_small_3p2__r6_hotel_02_amenity_lookup__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_hotel_02_amenity_lookup,hotel,mistral_small_3p2,04,3,0,,0,0,0,305,,2.1
mistral_small_3p2__r6_hotel_02_amenity_lookup__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_hotel_02_amenity_lookup,hotel,mistral_small_3p2,05,4,0,,0,0,0,305,,2.11
mistral_small_3p2__r6_file_01_locate_checksum__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_file_01_locate_checksum,file,mistral_small_3p2,01,0,3,file_search|file_get_metadata|file_checksum,0,0,1,75,,3.37
mistral_small_3p2__r6_file_01_locate_checksum__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_file_01_locate_checksum,file,mistral_small_3p2,02,1,3,file_search|file_get_metadata|file_checksum,0,0,1,75,,3.37
mistral_small_3p2__r6_file_01_locate_checksum__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_file_01_locate_checksum,file,mistral_small_3p2,03,2,3,file_search|file_get_metadata|file_checksum,0,0,1,80,,3.28
mistral_small_3p2__r6_file_01_locate_checksum__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_file_01_locate_checksum,file,mistral_small_3p2,04,3,3,file_search|file_get_metadata|file_checksum,0,0,1,142,,3.8
mistral_small_3p2__r6_file_01_locate_checksum__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_file_01_locate_checksum,file,mistral_small_3p2,05,4,3,file_search|file_get_metadata|file_checksum,0,0,1,75,,3.22
